STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       2932;2019050100:08;    1;  110.0;    0.0;    0.0;   0;   113.32;2019050101:00;eor
       2932;2019050101:08;    1;  123.0;    0.0;    0.0;   0;   110.80;2019050102:00;eor
       2932;2019050102:08;    1;  124.0;    0.0;    0.0;   0;   106.04;2019050103:00;eor
       2932;2019050103:08;    1;  125.0;    0.0;    0.0;   0;    99.49;2019050104:00;eor
       2932;2019050104:08;    1;  126.0;    1.0;    1.0;   0;    91.63;2019050105:00;eor
       2932;2019050105:08;    1;  124.0;    9.0;   10.0;   0;    82.91;2019050106:00;eor
       2932;2019050106:08;    1;  121.0;   32.0;   35.0;   5;    73.69;2019050107:00;eor
       2932;2019050107:08;    1;  115.0;   78.0;  103.0;  29;    64.35;2019050108:00;eor
       2932;2019050108:08;    1;  118.0;  110.0;  134.0;  26;    55.31;2019050109:00;eor
       2932;2019050109:08;    1;  121.0;  133.0;  166.0;  17;    47.12;2019050110:00;eor
       2932;2019050110:08;    1;  121.0;  159.0;  228.0;  30;    40.61;2019050111:00;eor
       2932;2019050111:08;    1;  120.0;  162.0;  243.0;  37;    36.87;2019050112:00;eor
       2932;2019050112:08;    1;  117.0;  139.0;  317.0;  59;    36.86;2019050113:00;eor
       2932;2019050113:08;    1;  119.0;  133.0;  290.0;  51;    40.57;2019050114:00;eor
       2932;2019050114:08;    1;  112.0;   54.0;  251.0;  60;    47.07;2019050115:00;eor
       2932;2019050115:08;    1;  113.0;   52.0;  199.0;  60;    55.23;2019050116:00;eor
       2932;2019050116:08;    1;  114.0;   52.0;  144.0;  60;    64.26;2019050117:00;eor
       2932;2019050117:08;    1;  120.0;   54.0;   88.0;  49;    73.58;2019050118:00;eor
       2932;2019050118:08;    1;  113.0;   17.0;   24.0;  25;    82.77;2019050119:00;eor
       2932;2019050119:08;    1;  114.0;    2.0;    2.0;   0;    91.48;2019050120:00;eor
       2932;2019050120:08;    1;  110.0;    0.0;    0.0;   0;    99.30;2019050121:00;eor
       2932;2019050121:08;    1;  110.0;    0.0;    0.0;   0;   105.81;2019050122:00;eor
       2932;2019050122:08;    1;  109.0;    0.0;    0.0;   0;   110.54;2019050123:00;eor
       2932;2019050123:08;    1;  114.0;    0.0;    0.0;   0;   113.03;2019050200:00;eor
       2932;2019050200:08;    1;  106.0;    0.0;    0.0;   0;   113.02;2019050201:00;eor
       2932;2019050201:08;    1;  102.0;    0.0;    0.0;   0;   110.50;2019050202:00;eor
       2932;2019050202:08;    1;  100.0;    0.0;    0.0;   0;   105.76;2019050203:00;eor
       2932;2019050203:08;    1;   98.0;    0.0;    0.0;   0;    99.23;2019050204:00;eor
       2932;2019050204:08;    1;   98.0;    2.0;    2.0;   0;    91.39;2019050205:00;eor
       2932;2019050205:08;    1;   98.0;   20.0;   23.0;   0;    82.67;2019050206:00;eor
       2932;2019050206:08;    1;  117.0;   33.0;   34.0;   0;    73.46;2019050207:00;eor
       2932;2019050207:08;    1;  126.0;   38.0;   38.0;   0;    64.12;2019050208:00;eor
       2932;2019050208:08;    1;  122.0;   72.0;   81.0;  11;    55.07;2019050209:00;eor
